"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
279,30,1,1,3,1,"Medium"
398,108,1,1,3,2,"High"
98,1,2,1,30,6,"Medium"
420,606,2,1,30,2,"High"
83,5,2,2,3,4,"Medium"
406,262,3,1,2,4,"High"
333,227,2,1,2,2,"Medium"
384,440,1,2,1,4,"High"
99,296,2,4,2,9,"Medium"
88,76,2,1,1,2,"Medium"
425,209,3,2,30,4,"High"
391,175,1,1,1,2,"High"
331,73,7,4,4,9,"Medium"
58,354,1,2,3,6,"Low"
165,60,2,2,3,4,"Medium"
88,29,2,2,3,4,"Medium"
13,238,2,1,1,2,"Low"
404,403,1,1,1,3,"High"
410,144,1,1,1,2,"High"
41,92,8,1,30,2,"Low"
364,44,1,1,30,2,"High"
431,65,2,1,2,1,"High"
100,57,5,5,4,10,"Medium"
344,59,7,4,1,10,"High"
279,111,4,1,6,1,"Medium"
403,221,1,2,1,4,"High"
73,18,2,1,30,2,"Medium"
31,1,3,2,30,3,"Low"
408,267,1,1,2,2,"High"
391,149,2,1,30,4,"High"
41,306,2,1,3,4,"Low"
42,111,3,2,2,4,"Low"
431,166,1,1,1,4,"High"
70,37,1,3,30,5,"Medium"
178,89,1,2,2,4,"Medium"
407,79,7,5,1,12,"High"
116,165,5,2,3,5,"Medium"
34,640,1,1,1,3,"Low"
21,380,1,1,2,3,"Low"
300,13,1,3,30,8,"Medium"
351,129,4,1,5,2,"High"
135,25,2,2,2,4,"Medium"
13,1,5,2,30,4,"Low"
425,471,1,1,1,2,"High"
135,252,3,2,1,5,"Medium"
333,514,1,1,1,2,"Medium"
422,402,2,1,1,4,"High"
423,377,1,1,1,6,"High"
15,365,5,1,1,2,"Low"
53,243,3,2,1,4,"Low"
15,315,5,1,1,2,"Low"
408,321,5,1,1,2,"High"
35,509,2,1,2,4,"Low"
410,436,3,1,3,2,"High"
305,201,2,1,2,2,"Medium"
375,17,1,1,30,2,"High"
38,101,3,1,2,2,"Low"
423,734,1,1,2,2,"High"
433,969,1,1,1,5,"High"
72,20,2,1,30,2,"Medium"
242,75,4,1,2,2,"Medium"
140,54,1,2,4,5,"Medium"
390,458,1,1,1,5,"High"
66,29,1,1,3,4,"Medium"
338,196,2,1,2,2,"High"
320,343,2,1,2,3,"Medium"
23,400,3,1,1,4,"Low"
353,29,1,1,30,2,"High"
333,499,4,1,1,2,"Medium"
48,80,1,1,5,2,"Low"
58,301,2,1,3,2,"Low"
304,118,2,4,2,10,"Medium"
433,20,1,2,3,3,"High"
38,155,1,2,30,6,"Low"
54,187,2,2,2,3,"Low"
19,855,6,1,1,10,"Low"
378,149,2,1,2,2,"High"
430,155,5,1,1,2,"High"
42,16,1,1,2,2,"Low"
329,19,1,1,31,1,"Medium"
422,373,2,1,2,2,"High"
305,14,8,1,30,2,"Medium"
39,246,2,2,1,5,"Low"
391,120,1,1,4,3,"High"
99,70,1,1,2,3,"Medium"
421,294,1,1,1,4,"High"
369,40,6,1,30,3,"High"
320,61,2,1,30,2,"Medium"
428,15,2,1,30,2,"High"
87,44,3,2,5,4,"Medium"
73,442,3,2,2,4,"Medium"
38,21,2,1,4,2,"Low"
385,153,2,1,1,3,"High"
433,117,25,2,30,5,"High"
412,28,1,1,1,2,"High"
140,246,1,3,2,6,"Medium"
135,15,10,3,5,7,"Medium"
32,184,1,1,2,2,"Low"
32,228,3,1,2,4,"Low"
384,13,16,1,30,2,"High"
34,277,1,1,2,2,"Low"
297,446,2,2,1,4,"Medium"
43,485,2,2,1,4,"Low"
48,93,1,1,2,4,"Low"
111,696,1,3,1,6,"Medium"
398,651,3,1,2,2,"High"
402,712,3,1,2,2,"High"
